 ,,,,,,,
, ,,,,,,
order_id,item_type,outlet_id,order_value,delivery_minutes,city,rating,order_date
ORD-1000,item_type_63,OUT-1000,78,1012,city_28,43,1/1/2026
ORD-1001,item_type_76,OUT-1001,94.5,1050,city_41,59.5,2/2/2026
ORD-1002,item_type_89,OUT-1002,11,1114,city_54,76,3/3/2026
ORD-1003,item_type_2,OUT-1003,27.5,1204,city_67,92.5,4/4/2026
ORD-1004,item_type_15,OUT-1004,44,1320,city_80,109,5/5/2026
ORD-1005,item_type_28,OUT-1005,60.5,1462,city_93,25.5,6/6/2026
ORD-1006,item_type_41,OUT-1006,77,1630,city_6,42,7/7/2026
ORD-1007,item_type_54,OUT-1007,93.5,1024,city_19,58.5,8/8/2026
ORD-1008,item_type_67,OUT-1008,110,1144,city_32,75,9/9/2026
ORD-1009,item_type_80,OUT-1009,126.5,1290,city_45,91.5,1/10/2026
ORD-1010,item_type_93,OUT-1010,43,1462,city_58,108,2/11/2026
ORD-1011,item_type_6,OUT-1011,59.5,1660,city_71,124.5,3/12/2026
ORD-1012,item_type_19,OUT-1012,76,1884,city_84,141,4/13/2026
ORD-1013,item_type_32,OUT-1013,92.5,2134,city_97,57.5,5/14/2026
ORD-1014,item_type_45,OUT-1014,109,2410,city_10,74,6/15/2026
ORD-1015,item_type_58,OUT-1015,125.5,1112,city_23,90.5,7/16/2026
ORD-1016,item_type_71,OUT-1016,142,1340,city_36,107,8/17/2026
ORD-1017,item_type_84,OUT-1017,158.5,1594,city_49,123.5,9/18/2026
ORD-1018,item_type_97,OUT-1018,75,1874,city_62,140,1/19/2026
ORD-1019,item_type_10,OUT-1019,91.5,2180,city_75,156.5,2/20/2026
ORD-1020,item_type_23,OUT-1020,108,2512,city_88,73,3/21/2026
ORD-1021,item_type_36,OUT-1021,124.5,2870,city_1,89.5,4/22/2026
ORD-1022,item_type_49,OUT-1022,141,3254,city_14,106,5/23/2026
ORD-1023,item_type_62,OUT-1023,157.5,1264,city_27,122.5,6/24/2026
ORD-1024,item_type_75,OUT-1024,174,1600,city_40,139,7/25/2026
